    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
    0.0402,0.061466535,-520.88935, 520.82789, 3297.1788, 291.55707,-521.64754, 230.09047, 516.60686
    0.0404, 0.1227459,-589.38503, 589.26228, 3730.5766, 322.62774,-522.50945, 199.88172, 517.33185
    0.0406,0.18354083,-648.30764,  648.1241, 4125.3168, 353.87397,-524.20692, 170.33295, 518.91154
    0.0408,0.24361142,-692.72111,  692.4775, 4440.6203, 385.09041,-526.56916, 141.47875, 521.18501
     0.041,0.30272059,-718.07315, 717.77043, 4636.6699, 416.04177,-529.36265, 113.32088, 523.92786
    0.0412,0.36063505,-720.30854, 719.94791, 4678.7607, 446.46652,-532.29763,  85.83111, 526.85844
    0.0414,0.41712625,-695.96526, 695.54813, 4541.5987, 476.08084,-535.03501, 58.954169, 529.64456
    0.0416,0.47197125,-642.27067,  641.7987, 4213.3833, 504.58372,-537.19572, 32.611999, 531.91272
    0.0418,0.52495359,-557.21025,  556.6853, 3698.9961,   531.662,-538.36988, 6.7078854, 533.25706
     0.042, 16.871992,-447.71725, 430.84526, 3033.5841, 537.74182,-538.15579,0.41397285, 533.27831
    0.0422, 87.558283,-332.24055, 244.68226, 2358.4904,  536.2149,-536.37203,0.15712382, 531.79618
    0.0424, 211.81305,-212.09632,0.28326958, 1678.8048, 533.15834, -408.2141,-124.94424,  528.7355
    0.0426, 236.88563,-237.10943,0.22379096, 1776.5805, 529.49329,-376.64224,-152.85105, 525.02036
    0.0428, 281.20231,-281.36577, 0.1634538, 1979.4365, 526.33394,-344.89395,-181.43999, 521.77243
     0.043, 340.08466,-340.18713, 0.1024718, 2273.2196, 523.89691,-313.18441, -210.7125, 519.21769
    0.0432, 408.50835,-408.54943,0.041084912, 2640.3769, 522.33307,-281.70901,-240.62406, 517.51706
    0.0434, 481.22899,-481.20853,-0.020463888, 3057.8994, 521.72432, -250.6302,-271.09411, 516.76292
    0.0436, 552.91556,-552.83363,-0.081931915, 3496.4209, 522.08173,-220.07487,-302.00686, 516.97703
    0.0438, 618.27875,-618.13567,-0.14307629, 3920.5861, 523.34552,-190.13454,-333.21098, 518.11015
     0.044, 672.21775,-672.01409,-0.20365662, 4290.8683, 525.38689,-160.86504,-364.52186, 520.04371
    0.0442, 709.92487,-709.66144,-0.26343291, 4566.3252, 528.01143,-132.28913, -395.7223, 522.59289
    0.0444, 727.01813,-726.69596,-0.32216954, 4708.4677, 530.96417,-104.39716,-426.56702, 525.51152
    0.0446, 719.65336,-719.27372,-0.37963472, 4685.5544, 533.93637,-77.150635,-456.78574, 528.49851
    0.0448, 684.61349,-684.17789,-0.43560166, 4476.8185, 536.57332,-50.485615,-486.08771,  531.2056
     0.045, 619.39542,-618.90557,-0.48984947, 4076.2784,  538.4834, -24.31672,-514.16668, 533.24618
    0.0452, 522.36256,-521.64833,-0.7142281, 3493.7564, 539.24839,-0.52093359,-538.72745, 534.20545
    0.0454, 408.69915,-375.37008,-33.329076, 2801.6459,  538.5129,-0.34204066,-538.17086, 533.72991
    0.0456, 289.62079,-168.02848,-121.59231,  2136.695, 536.16028,-0.046436116,-536.11384,  531.7037
    0.0458, 214.51603,-0.26353964,-214.25249, 1683.6921, 398.06654, 134.52664,-532.59317, 528.16547
     0.046, 245.32092,-0.20376501,-245.11716, 1811.8068, 366.38869, 162.62347,-529.01215, 524.52277
    0.0462, 293.96182,-0.14318622,-293.81864, 2040.3224,  334.5942, 191.40784,-526.00204, 521.41531
    0.0464, 355.65334,-0.082042337, -355.5713, 2354.3381, 302.90097, 220.85855,-523.75953, 519.04935
    0.0466, 425.30359,-0.02057467,-425.28301, 2734.8845, 271.49482, 250.92013,-522.41495, 517.56541
    0.0468, 497.63962,0.040974195, -497.6806, 3157.1851, 240.52713, 281.50137, -522.0285, 517.03422
     0.047, 567.34504,0.10236135, -567.4474, 3590.1665, 210.11411, 312.47557,-522.58968, 517.45593
    0.0472, 629.18864,0.16334454,-629.35199, 3997.2338, 180.33659, 343.68129,-524.01788, 518.76039
    0.0474, 678.15041,0.22368308,-678.37409, 4338.3293, 151.24106, 374.92436,-526.16541, 520.80994
    0.0476, 709.55369,0.28313884,-709.83683,  4573.157, 122.84001, 405.97913,-528.81914,  523.4008
    0.0478, 719.18176,0.34147719,-719.52324, 4665.1471, 95.114994, 436.59252,-531.70752, 526.26987
     0.048, 703.37984,0.39846788,-703.77831, 4585.7331, 68.019879, 466.48816,-534.50804, 529.10194
    0.0482, 659.15055,0.45388599,-659.60443, 4318.5226, 41.484218, 495.37066,-536.85488,  531.5372
    0.0484, 584.22768,0.50751284,-584.73519, 3862.7776, 15.417444, 522.93079,-538.34823, 533.18034
    0.0486, 474.61779, 5.6078556,-480.22564, 3234.2482,0.46900946, 538.10103,-538.57004, 533.61627
    0.0488, 308.67059,  57.58508,-366.25567, 2551.8661,0.25108525,  536.9999,-537.25099, 532.57714
     0.049, 81.811831, 164.89775,-246.70958, 1927.4087,-0.083085834, 534.39272,-534.30963, 529.98218
